mm-yy,color,count,pct
2023-05,R,339,0.2198443579766537
2023-05,U,435,0.2821011673151751
2023-05,W,251,0.16277561608300908
2023-06,B,130,0.1368421052631579
2023-06,G,106,0.11157894736842106
2023-06,R,252,0.26526315789473687
2023-06,U,212,0.2231578947368421
2023-06,W,250,0.2631578947368421
2023-07,B,247,0.12725399278722307
2023-07,G,198,0.10200927357032458
2023-07,R,321,0.16537867078825347
2023-07,U,748,0.38536836682122616
2023-07,W,427,0.2199896960329727
2023-08,B,597,0.15591538260642465
2023-08,G,484,0.1264037607730478
2023-08,R,654,0.1708017759206059
2023-08,U,1456,0.3802559414990859
2023-08,W,638,0.16662313920083574
2023-09,B,468,0.1649629890729644
2023-09,G,271,0.09552344025378921
2023-09,R,513,0.18082481494536481
2023-09,U,1166,0.41099753260486427
2023-09,W,419,0.14769122312301727
2023-10,B,320,0.09928637914986038
2023-10,G,395,0.1225566242631089
2023-10,R,926,0.28730995966490847
2023-10,U,954,0.29599751784052125
2023-10,W,628,0.194849519081601
2023-11,B,346,0.10593998775260258
2023-11,G,304,0.0930802204531537
2023-11,R,677,0.20728720146968768
2023-11,U,1299,0.3977342314758114
2023-11,W,640,0.19595835884874463
2023-12,B,383,0.15800330033003301
2023-12,G,249,0.10272277227722772
2023-12,R,455,0.18770627062706272
2023-12,U,958,0.3952145214521452
2023-12,W,379,0.15635313531353134
2024-01,B,484,0.11676718938480096
2024-01,G,454,0.10952955367913149
2024-01,R,1168,0.2817852834740651
2024-01,U,1281,0.3090470446320869
2024-01,W,758,0.18287092882991557
2024-02,B,442,0.1125254582484725
2024-02,G,544,0.1384928716904277
2024-02,R,932,0.23727087576374745
2024-02,U,1340,0.3411405295315682
2024-02,W,670,0.1705702647657841
2024-03,B,697,0.12613101701049584
2024-03,G,1021,0.18476293883460007
2024-03,R,1391,0.2517191458559537
2024-03,U,1798,0.3253709735794426
2024-03,W,619,0.11201592471950778
2024-04,B,797,0.16094507269789984
2024-04,G,726,0.14660743134087237
2024-04,R,965,0.1948707592891761
2024-04,U,1620,0.327140549273021
2024-04,W,844,0.1704361873990307
2024-05,B,1277,0.16985900505453577
2024-05,G,1079,0.1435222133546156
2024-05,R,1735,0.23077946262303803
2024-05,U,1994,0.26523011439212557
2024-05,W,1433,0.19060920457568503
2024-06,B,1019,0.1420011148272018
2024-06,G,1398,0.1948160535117057
2024-06,R,1514,0.21098104793756967
2024-06,U,2133,0.2972408026755853
2024-06,W,1112,0.15496098104793757
2024-07,B,798,0.1655258245177349
2024-07,G,770,0.15971790085044596
2024-07,R,945,0.19601742377100187
2024-07,U,1359,0.28189172370877413
2024-07,W,949,0.19684712715204314
2024-08,B,978,0.1751432664756447
2024-08,G,791,0.14165472779369628
2024-08,R,1020,0.1826647564469914
2024-08,U,1858,0.3327363896848137
2024-08,W,937,0.16780085959885388
2024-09,B,776,0.1780224822206928
2024-09,G,783,0.17962835512732278
2024-09,R,769,0.17641660931406286
2024-09,U,1324,0.30373938976829545
2024-09,W,707,0.16219316356962607
2024-10,B,1205,0.19930532583526298
2024-10,G,921,0.15233212041018857
2024-10,R,964,0.15944426066821038
2024-10,U,2003,0.3312934171352961
2024-10,W,953,0.15762487595104202
2024-11,B,918,0.16065803290164507
2024-11,G,909,0.15908295414770737
2024-11,R,1042,0.1823591179558978
2024-11,U,1612,0.2821141057052853
2024-11,W,1233,0.21578578928946449
2024-12,B,745,0.19201030927835053
2024-12,G,583,0.15025773195876288
2024-12,R,579,0.14922680412371134
2024-12,U,1363,0.3512886597938144
2024-12,W,610,0.15721649484536082
2025-01,B,1759,0.20248647404167147
2025-01,G,1072,0.12340278577184298
2025-01,R,1480,0.17036951767008174
2025-01,U,2914,0.33544376654771496
2025-01,W,1462,0.16829745596868884
2025-02,B,890,0.19629466254962505
2025-02,G,782,0.17247463608292898
2025-02,R,515,0.11358623731804146
2025-02,U,1377,0.3037053374503749
2025-02,W,970,0.21393912659902956
2025-03,B,1498,0.19304123711340207
2025-03,G,1452,0.18711340206185567
2025-03,R,1130,0.14561855670103094
2025-03,U,2189,0.2820876288659794
2025-03,W,1491,0.19213917525773197
2025-04,B,1458,0.22573153738968882
2025-04,G,661,0.10233782319244465
2025-04,R,1124,0.17402074624554884
2025-04,U,2072,0.3207926923672395
2025-04,W,1144,0.17711720080507817
2025-05,B,1469,0.18653968253968253
2025-05,G,876,0.11123809523809523
2025-05,R,1134,0.144
2025-05,U,2600,0.33015873015873015
2025-05,W,1796,0.22806349206349205
2025-06,B,1541,0.21793239994343092
2025-06,G,1040,0.14707962098713054
2025-06,R,1141,0.16136331494838071
2025-06,U,2023,0.2860981473624664
2025-06,W,1326,0.18752651675859142
2025-07,B,1195,0.21636791598768784
2025-07,G,710,0.12855332246967227
2025-07,R,915,0.1656708310700706
2025-07,U,1752,0.31721890277023357
2025-07,W,951,0.17218902770233568
2025-08,B,1851,0.21110857664233576
2025-08,G,1041,0.1187271897810219
2025-08,R,1647,0.18784215328467152
2025-08,U,2556,0.291514598540146
2025-08,W,1673,0.19080748175182483
2025-09,B,1051,0.1583785412899337
2025-09,G,917,0.13818565400843882
2025-09,R,1166,0.175708257986739
2025-09,U,2377,0.35819770946353224
2025-09,W,1125,0.16952983725135623
2025-10,B,1527,0.22181871005229517
2025-10,G,937,0.1361127251597908
2025-10,R,759,0.11025566531086578
2025-10,U,2399,0.34848925043579315
2025-10,W,1262,0.1833236490412551
2025-11,B,1493,0.2085195530726257
2025-11,G,868,0.1212290502793296
2025-11,R,946,0.13212290502793297
2025-11,U,2366,0.3304469273743017
2025-11,W,1487,0.20768156424581005
2025-12,B,1389,0.2225248317846844
2025-12,G,602,0.09644344761294457
2025-12,R,964,0.1544376802306953
2025-12,U,2229,0.35709708426786285
2025-12,W,1058,0.16949695610381288
2026-01,B,1544,0.1742073789913122
2026-01,G,1164,0.1313325059235022
2026-01,R,1437,0.16213471736432358
2026-01,U,2852,0.3217872052352477
2026-01,W,1866,0.21053819248561434
2026-02,B,2499,0.1944898435675928
2026-02,G,1908,0.14849404622927853
2026-02,R,1896,0.14756012141022648
2026-02,U,4177,0.3250836640983734
2026-02,W,2369,0.18437232469452874
2026-03,B,1781,0.20185877819335826
2026-03,G,2039,0.2311005326986286
2026-03,R,1492,0.16910347954210586
2026-03,U,2080,0.23574747818202427
2026-03,W,1431,0.16218973138388304
2026-04,B,1828,0.20028486906979293
2026-04,G,1243,0.13618932836638545
2026-04,R,1311,0.1436397501917388
2026-04,U,3351,0.3671524049523392
2026-04,W,1394,0.15273364741974363
2026-05,B,1861,0.18082005441119317
2026-05,G,1442,0.14010882238631947
2026-05,R,1536,0.14924212980956084
2026-05,U,3529,0.3428876797512631
2026-05,W,1924,0.18694131364166341
2026-06,B,1397,0.17974781266083376
2026-06,G,804,0.10344827586206896
2026-06,R,1097,0.14114770972722593
2026-06,U,2739,0.3524189397838394
2026-06,W,1735,0.2232372619660319
2026-07,B,1620,0.1906106600776562
2026-07,G,1160,0.13648664548770442
2026-07,R,1187,0.13966348982233204
2026-07,U,2921,0.3436874926461937
2026-07,W,1611,0.18955171196611367
